no,name,start_date,end_date,birthplace
1,Nuri Yamut,1949-01-03,1950-06-05,Selanik
2,Kurtcebe Noyan,1950-06-06,1951-05-07,Sivas
3,Şükrü Kanatlı,1951-12-28,1954-01-15,İstanbul
4,Nurettin Baransel,1954-04-06,1954-05-28,Ankara
5,Abdülkadir Seven,1954-07-10,1955-04-25,Selanik
6,Hakkı Tunaboylu,1955-09-13,1956-06-06,Rahova
7,Nurettin Aknoz,1956-06-25,1957-09-16,İstanbul
8,Necati Tacan,1957-11-30,1958-07-28,İstanbul
9,Rüştü Erdelhun,1958-08-01,1958-08-21,Edirne
10,Cemal Gürsel,1958-08-21,1960-06-02,Erzurum
11,Cevdet Sunay,1960-06-03,1960-08-02,Erzurum
12,Muzaffer Alankuş,1960-08-04,1961-01-06,Erzurum
13,Celal Alkoç,1961-03-06,1961-06-26,Manastır
14,Muhittin Önür,1961-08-31,1962-02-23,Edirne
15,Ali Keskiner,1962-02-23,1964-08-28,İstanbul
16,Cemal Tural,1964-08-28,1966-03-15,Erzincan
17,Refik Yılmaz,1966-03-21,1968-08-23,İstanbul
18,Memduh Tağmaç,1968-08-23,1969-03-16,Erzurum
19,Fikret Esen,1969-03-18,1969-08-28,İstanbul
20,Nazmi Karakoç,1969-08-28,1970-08-28,Bolu
21,Faruk Gürler,1970-08-28,1972-08-28,İstanbul
22,Semih Sancar,1972-08-28,1973-03-07,Erzurum
23,Eşref Akıncı,1973-03-07,1976-03-29,Bursa
24,Namık Kemal Ersun,1976-03-29,1977-06-01,İstanbul
25,Kenan Evren,1977-09-05,1978-03-06,Manisa
26,Nurettin Ersin,1978-03-09,1983-07-01,Çanakkale
27,Necdet Üruğ,1983-07-01,1983-12-06,İstanbul
28,Haydar Saltık,1983-12-06,1985-08-12,İstanbul
29,Necdet Öztorun,1985-08-12,1987-07-02,Konya
30,Kemal Yamak,1987-07-24,1989-08-21,Amasya
31,Doğan Güreş,1989-08-21,1990-12-06,Adana
32,Muhittin Fisunoğlu,1991-01-01,1993-08-30,Tokat
33,İsmail Hakkı Karadayı,1993-08-30,1994-08-30,Çankırı
34,Hikmet Bayar,1994-08-30,1996-08-27,Kocaeli
35,Hikmet Köksal,1996-08-27,1997-08-28,Artvin
36,Hüseyin Kıvrıkoğlu,1997-08-28,1998-08-27,Bilecik
37,Atilla Ateş,1998-08-27,2000-08-25,Kütahya
38,Aytaç Yalman,2002-08-27,2004-08-29,İstanbul
39,Hilmi Özkök,2000-08-27,2002-08-29,Manisa
40,Yaşar Büyükanıt,2004-08-29,2006-08-25,İstanbul
41,İlker Başbuğ,2006-08-25,2008-08-27,Afyonkarahisar
42,Işık Koşaner,2008-08-27,2010-08-27,İzmir
43,Erdal Ceylanoğlu,2010-08-27,2011-07-29,Kayseri
44,Necdet Özel,2011-07-29,2011-08-04,Ankara
45,Hayri Kıvrıkoğlu,2011-08-04,2013-08-23,Konya
46,Hulusi Akar,2013-08-23,2015-08-17,Kayseri
47,Salih Zeki Çolak,2015-08-17,2017-08-23,Trabzon
48,Yaşar Güler,2017-08-23,2018-07-10,Ardahan
49,Ümit Dündar,2018-07-10,2021-08-13,Manisa
50,Musa Avsever,2021-08-13,2023-08-16,Konya
51,Selçuk Bayraktaroğlu,2023-08-16,2025-08-18,Artvin
52,Metin Tokel,2025-08-18,Present,Gümüşhane
